;No.overall;No. inseason;Title;Directed by;Written by;Original air date;Prod.code;U.S. viewers(millions)
15;108;16;"""Checkmate""";Ken Shane;Beth Schwartz & Sarah Tarkoff;March 15, 2017;T27.13216;1.53[117]
16;109;17;"""Kapiushon""";Kevin Tancharoen;Brian Ford Sullivan & Emilio Ortega Aldrich;March 22, 2017;T27.13217;1.38[118]
17;110;18;"""Disbanded""";JJ Makaro;Rebecca Bellotto;March 29, 2017;T27.13218;1.55[119]
18;111;19;"""Dangerous Liaisons""";Joel Novoa;Speed Weed & Elizabeth Kim;April 26, 2017;T27.13219;1.36[120]
19;112;20;"""Underneath""";Wendey Stanzler;Wendy Mericle & Beth Schwartz;May 3, 2017;T27.13220;1.36[121]
20;113;21;"""Honor Thy Fathers""";Laura Belsey;Marc Guggenheim & Sarah Tarkoff;May 10, 2017;T27.13221;1.65[122]
21;114;22;"""Missing""";Mairzee Almas;Speed Weed & Oscar Balderrama;May 17, 2017;T27.13222;1.44[123]
22;115;23;"""Lian Yu""";Jesse Warn;Wendy Mericle & Marc Guggenheim;May 24, 2017;T27.13223;1.72[124]
0;116;1;"""Fallout""";James Bamford;Marc Guggenheim & Wendy Mericle;October 12, 2017;T27.13451;1.52[125]
1;117;2;"""Tribute""";Laura Belsey;Story by : Adam SchwartzTeleplay by : Marc Guggenheim & Beth Schwartz;October 19, 2017;T27.13452;1.51[126]
2;118;3;"""Next of Kin""";Kevin Tancharoen;Speed Weed & Oscar Balderrama;October 26, 2017;T27.13453;1.34[127]
3;119;4;"""Reversal""";Gregory Smith;Sarah Tarkoff & Emilio Ortega Aldrich;November 2, 2017;T27.13454;1.33[128]
4;120;5;"""Deathstroke Returns""";Joel Novoa;Ben Sokolowski & Spiro Skentzos;November 9, 2017;T27.13455;1.29[129]
5;121;6;"""Promises Kept""";Antonio Negret;Oscar Balderrama & Rebecca Bellotto;November 16, 2017;T27.13456;1.28[130]
6;122;7;"""Thanksgiving""";Gordon Verheul;Wendy Mericle & Speed Weed;November 23, 2017;T27.13457;1.09[131]
7;123;8;"""Crisis on Earth-X, Part 2""";James Bamford;Story by : Marc Guggenheim & Andrew KreisbergTeleplay by : Wendy Mericle & Ben Sokolowski;November 27, 2017;T27.13458;2.52[132]
8;124;9;"""Irreconcilable Differences""";Laura Belsey;Beth Schwartz & Sarah Tarkoff;December 7, 2017;T27.13459;1.30[133]
9;125;10;"""Divided""";James Bamford;Ben Sokolowski & Emilio Ortega Aldrich;January 18, 2018;T27.13460;1.38[134]
10;126;11;"""We Fall""";Wendey Stanzler;Speed Weed & Spiro Skentzos;January 25, 2018;T27.13461;1.38[135]
11;127;12;"""All for Nothing""";Mairzee Almas;Beth Schwartz & Oscar Balderrama;February 1, 2018;T27.13462;1.24[136]
12;128;13;"""The Devil's Greatest Trick""";JJ Makaro;Sarah Tarkoff & Emilio Ortega Aldrich;February 8, 2018;T27.13463;1.30[137]
13;129;14;"""Collision Course""";Ken Shane;Oscar Balderrama & Rebecca Bellotto;March 1, 2018;T27.13464;1.11[138]
14;130;15;"""Doppelganger""";Kristin Windell;Story by : Christos Gage & Ruth Fletcher GageTeleplay by : Speed Weed;March 8, 2018;T27.13465;1.28[139]
15;131;16;"""The Thanatos Guild""";Joel Novoa;Beth Schwartz & Ben Sokolowski;March 29, 2018;T27.13466;1.12[140]
16;132;17;"""Brothers in Arms""";Mark Bunting;Sarah Tarkoff & Jeane Wong;April 5, 2018;T27.13467;0.87[141]
17;133;18;"""Fundamentals""";Ben Bray;Speed Weed & Emilio Ortega Aldrich;April 12, 2018;T27.13468;1.06[142]
18;134;19;"""The Dragon""";Gordon Verheul;Spiro Skentzos & Elizabeth Kim;April 19, 2018;T27.13469;0.96[143]
19;135;20;"""Shifting Allegiances""";Alexandra La Roche;Wendy Mericle & Rebecca Bellotto;April 26, 2018;T27.13470;0.87[144]
20;136;21;"""Docket No. 11-19-41-73""";Andi Armaganian;Story by : Marc GuggenheimTeleplay by : Ubah Mohamed & Tyron B. Carter;May 3, 2018;T27.13471;1.10[145]
21;137;22;"""The Ties That Bind""";Tara Miele;Ben Sokolowski & Oscar Balderrama;May 10, 2018;T27.13472;1.00[146]
22;138;23;"""Life Sentence""";James Bamford;Wendy Mericle & Marc Guggenheim;May 17, 2018;T27.13473;1.35[147]
0;139;1;"""Inmate 4587""";James Bamford;Beth Schwartz & Oscar Balderrama;October 15, 2018;T27.13651;1.43[148]
1;140;2;"""The Longbow Hunters""";Laura Belsey;Jill Blankenship & Rebecca Bellotto;October 22, 2018;T27.13652;1.18[149]
2;141;3;"""Crossing Lines""";Gordon Verheul;Story by : Elizabeth KimTeleplay by : Onalee Hunter Hughes & Sarah Tarkoff;October 29, 2018;T27.13653;1.15[150]
3;142;4;"""Level Two""";Ben Bray;Emilio Ortega Aldrich & Tonya Kong;November 5, 2018;T27.13654;1.08[151]
4;143;5;"""The Demon""";Mark Bunting;Benjamin Raab & Deric A. Hughes;November 12, 2018;T27.13655;1.26[152]
5;144;6;"""Due Process""";Kristin Windell;Sarah Tarkoff & Tonya Kong;November 19, 2018;T27.13656;1.03[153]
6;145;7;"""The Slabside Redemption""";James Bamford;Jill Blankenship & Rebecca Bellotto;November 26, 2018;T27.13657;1.31[154]
7;146;8;"""Unmasked""";Alexandra La Roche;Oscar Balderrama & Beth Schwartz;December 3, 2018;T27.13658;1.35[155]
8;147;9;"""Elseworlds, Part 2""";James Bamford;Story by : Caroline DriesTeleplay by : Marc Guggenheim;December 10, 2018;T27.13659;2.06[156]
9;148;10;"""My Name Is Emiko Queen""";Andi Armaganian;Benjamin Raab & Deric A. Hughes;January 21, 2019;T27.13660;1.22[157]
10;149;11;"""Past Sins""";David Ramsey;Onalee Hunter Hughes & Tonya Kong;January 28, 2019;T27.13661;1.18[158]
11;150;12;"""Emerald Archer""";Glen Winter;Marc Guggenheim & Emilio Ortega Aldrich;February 4, 2019;T27.13662;1.07[159]
12;151;13;"""Star City Slayer""";Gregory Smith;Beth Schwartz & Jill Blankenship;February 11, 2019;T27.13663;1.09[160]
